"Sn(t+1) \ Sn(t)",At home without home care,At home with home care,EOL prognosis at home with home care,Chronic conditions in nursing home,EOL prognosis in nursing home,Acute illness requiring ED care,EOL prognosis requiring acute care in ED,Acute illness requiring inpatient care,EOL prognosis requiring inpatient care,EOL care in complex continuing care (CCC),EOL care in palliative care ward or ALC,Palliative prognosis in non-home hospice,EOL prognosis requiring ICU care,Death
At home without home care,0.98825,,,,,,,0.084808268,,,,,,
At home with home care,0.00796,0.99221,,,,,,,,,,,,
EOL prognosis at home with home care,,0.004,1,,,,,,,,,,,
Chronic conditions in nursing home,0.0001,0.0001,,0.99401,,,,,,,,,,
EOL prognosis in nursing home,,,,0.004,0.99801,,,,,,,,,
Acute illness requiring ED care,0.00369,0.00369,,0.00199,,0.551,,,,,,,,
EOL prognosis requiring acute care in ED,,,,,0.00199,0.004,0.555,,,,,,,
Acute illness requiring inpatient care,,,,,,0.445,,0.801191732,,,,,,
EOL prognosis requiring inpatient care,,,,,,,0.445,0.004,0.32,,,,,
EOL care in complex continuing care (CCC),,,,,,,,,0.05,0.91,,,,
EOL care in palliative care ward or ALC,,,,,,,,,0.52,,0.95,,0.52,
Palliative prognosis in non-home hospice,,,,,,,,,,0.09,,0.95,,
EOL prognosis requiring ICU care,,,,,,,,0.11,0.11,,,,0.48,
Death,,,,,,,,,,,0.05,0.05,,1
